tau,q1,q2,resource,meter,p1,p2,p_resource,p_meter,dissipated_energy,gross_transfer,integrated_tracking_residual,total_energy,local_pair_energy,asymmetry,meter_interface_energy,resource_to_pair_power,meter_to_pair_power,q_plus,p_plus,common_mode_energy
0,0,0,1,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0
0.1,0.001245942461,8.315302822e-07,0.9937578079,2.077994608e-07,0.02484194904,3.32284676e-05,-0.1246981782,8.303381301e-06,2.80315544e-06,0.0003104752404,3.109612257e-08,0.6249971968,0.0003099580754,0.0006170229179,1.551854848e-07,0.006163982296,-6.189295399e-06,0.0008816023442,0.0175894067,0.0001550822254
0.2,0.004938603063,1.322878053e-05,0.9751164207,3.305877474e-06,0.04879119084,0.0002635862126,-0.2477154668,6.587700159e-05,2.222050505e-05,0.001218717571,9.814332028e-07,0.6249777795,0.001212223603,0.002379187723,2.435715831e-06,0.01183403276,-4.815980536e-05,0.003501473876,0.0346869655,0.0006077229475
0.3,0.01094633059,6.635353165e-05,0.9443239457,1.65885002e-05,0.07100664284,0.0008773873465,-0.3674573547,0.0002194494656,7.387787535e-05,0.002657828811,7.285942015e-06,0.6249261221,0.002628619407,0.005036486377,1.194592622e-05,0.01656900274,-0.0001552168586,0.007787143624,0.0508296852,0.001322148252
0.4,0.01905572512,0.0002070356814,0.9017858216,5.180150638e-05,0.09069837792,0.002040062538,-0.4823753358,0.0005109650804,0.0001715141987,0.004523244251,2.974940082e-05,0.6248284858,0.004438869805,0.00821556998,3.611491127e-05,0.02001554697,-0.0003447250091,0.01362082879,0.06557598012,0.002242868073
0.5,0.02897791522,0.0004972146768,0.8480591471,0.0001245594798,0.1071505595,0.003886916629,-0.5909881847,0.0009755298678,0.0003262122347,0.006681850711,8.718093496e-05,0.6246737878,0.006492618781,0.01147453025,8.325161377e-05,0.02194125307,-0.0006183306424,0.02084206423,0.07851535235,0.003299526098
0.6,0.04035702859,0.001010510978,0.783844931,0.0002535688417,0.11974227,0.006515026827,-0.6919021979,0.001639594991,0.0005458054639,0.008983617024,0.0002064283343,0.6244541945,0.00862444322,0.01436855704,0.0001608287484,0.02225673228,-0.0009604158608,0.02925126775,0.08927739074,0.004413044581
0.7,0.05278061542,0.001828057481,0.7099783825,0.0004596837848,0.127965648,0.009976591757,-0.7838300947,0.002519439816,0.0008344964539,0.01127476373,0.0004206649097,0.6241655035,0.01067040256,0.01651758054,0.0002737479887,0.02102468452,-0.001339056384,0.03861416292,0.09753989311,0.005502542163
0.8,0.06579172956,0.003033749557,0.62741739,0.0007648277471,0.1314408278,0.0142739939,-0.8656082994,0.003620007636,0.001192705687,0.01341136981,0.0007660423654,0.6238072943,0.01248452234,0.01766663102,0.000422849796,0.01845513543,-0.001709437961,0.048666963,0.1030359385,0.006492438959
0.9,0.07890232592,0.004709095832,0.537229364,0.001190817901,0.1299272637,0.01935678135,-0.9362123518,0.0049341363,0.001617152571,0.01527227596,0.001277077659,0.6233828474,0.01395361989,0.01773046697,0.0006039078479,0.01488729449,-0.00201936872,0.05912220331,0.1055597606,0.007319148992
1,0.09160759592,0.006927869334,0.4405766409,0.001758133758,0.1233311247,0.0251207115,-0.9947702251,0.006442213909,0.002101153672,0.01677019925,0.00198135653,0.6228988463,0.01500904418,0.01681594136,0.0008072925851,0.0107596862,-0.002216247045,0.06967509567,0.1049713001,0.007936796398
1.1,0.1034008371,0.00975076948,0.3387006682,0.002484673368,0.1117085561,0.03140893048,-1.040573371,0.008112276686,0.002635108531,0.01786011806,0.002894282077,0.6223648915,0.01563420058,0.01521836504,0.001018407209,0.006571251097,-0.002254639787,0.08001026828,0.1011993453,0.008321475259
1.2,0.1137884379,0.01322030921,0.2329052044,0.003384541622,0.09526472162,0.03801529125,-1.07308534,0.009900552604,0.003207131914,0.01854420747,0.004014652304,0.6217928681,0.01586713676,0.01339144578,0.001218902031,0.002836906401,-0.002103519288,0.08980874632,0.0942432009,0.008473695916
1.3,0.1223045569,0.01735613825,0.1245387832,0.004466914828,0.07434865671,0.04468974077,-1.091947887,0.01175244055,0.003803783859,0.01887288458,0.005321805248,0.6211962161,0.01579793615,0.01189382186,0.001388570988,4.152793125e-05,-0.001752214079,0.09875502457,0.08417285808,0.008418812458
1.4,0.1285250832,0.02215100304,0.0149766954,0.005735024063,0.04944408349,0.05114563652,-1.096984479,0.01360390136,0.004410845782,0.01910357865,0.006774925847,0.6205891542,0.01556115671,0.01131834021,0.001507739862,-0.001403573992,-0.001214248387,0.1065440823,0.07112767314,0.008205393685
1.5,0.1320804874,0.02756752644,-0.09439724916,0.007185296733,0.02115644891,0.05706878583,-1.088201207,0.01538322411,0.005014092135,0.01933645147,0.008314878734,0.6199859079,0.01532401625,0.01221265495,0.001559880865,-0.001197866166,-0.0005284677441,0.1128881932,0.05531359395,0.007901668916
1.6,0.1326672017,0.03353596652,-0.2022089217,0.008806691569,-0.009803445232,0.06212794061,-1.065785108,0.01701311935,0.005600012244,0.01941738238,0.009868640208,0.6193999878,0.01527141872,0.01500112606,0.001534142598,0.000820734934,0.0002428519456,0.1175233873,0.0369990055,0.007590336489
1.7,0.1300572126,0.03995308459,-0.3071117801,0.01058025687,-0.0426387582,0.0659864272,-1.03009997,0.01841308024,0.006156445121,0.01974005543,0.01135608349,0.6188435549,0.01558920146,0.0199181848,0.001427474296,0.004660085744,0.001018869806,0.120215434,0.01650929508,0.007362153704
1.8,0.124105596,0.0466822178,-0.4078042324,0.01247893546,-0.07648832755,0.06831454739,-0.9816797165,0.01950194394,0.006673100173,0.02060615713,0.01269856105,0.6183268998,0.01644713683,0.02696225209,0.001246051135,0.0101712233,0.001707627316,0.1207652213,-0.005779735381,0.00730882201
1.9,0.1147557864,0.05355461412,-0.5030462245,0.01446763272,-0.1104501777,0.06880235399,-0.921219513,0.02020057852,0.00714194774,0.02215581124,0.0138284637,0.6178580523,0.01798322984,0.03587705361,0.001005771377,0.01705908548,0.00221536888,0.1190134256,-0.02944945859,0.007515733037
2,0.1020424327,0.06037204619,-0.5916748304,0.01650355629,-0.1436061613,0.067172384,-0.8495647582,0.02043461612,0.007557473952,0.02448420282,0.01469875186,0.617442526,0.02029071882,0.04616401627,0.000731689937,0.02490551829,0.002456781935,0.1148443794,-0.05404684224,0.008055146313
2.1,0.08609176179,0.06691067872,-0.6726186451,0.01853682798,-0.1750470444,0.0631919243,-0.7676981694,0.02013715021,0.007916803713,0.02763220985,0.01529137457,0.6170831963,0.0234089243,0.05712572018,0.0004563669083,0.03320250358,0.0023650583,0.1081890632,-0.07909351396,0.008980328676
